"Time","pulse","spikes","value"
2023-07-22 11:32:50.000,0,16,50
2023-07-22 11:32:40.000,0,16,50
2023-07-22 11:32:30.000,0,16,50
2023-07-22 11:32:20.000,0,16,50
2023-07-22 11:32:10.000,0,16,50
2023-07-22 11:32:00.000,0,16,50
2023-07-22 11:31:50.000,0,16,50
2023-07-22 11:31:40.000,0,16,50
2023-07-22 11:31:30.000,0,16,50
2023-07-22 11:31:20.000,0,16,50
2023-07-22 11:31:10.000,0,16,50
2023-07-22 11:31:00.000,1,16,50
2023-07-22 11:30:50.000,0,14,50.1
2023-07-22 11:30:40.000,1,14,50.1
2023-07-22 11:30:30.000,0,12,50
2023-07-22 11:30:20.000,0,12,50
2023-07-22 11:30:10.000,1,11,50
2023-07-22 11:30:00.000,1,8,50.1
2023-07-22 11:29:50.000,0,7,50
2023-07-22 11:29:40.000,0,7,50
2023-07-22 11:29:30.000,1,6,50
2023-07-22 11:29:20.000,0,5,50.1
2023-07-22 11:29:10.000,1,4,50.1
2023-07-22 11:29:00.000,0,2,50
2023-07-22 11:28:50.000,1,1,50.1
2023-07-22 11:28:40.000,0,0,50
2023-07-22 11:28:30.000,0,0,50
2023-07-22 11:28:20.000,0,0,50
2023-07-22 11:28:10.000,0,0,50
2023-07-22 11:28:00.000,0,0,50
2023-07-22 11:27:50.000,0,0,50
2023-07-22 11:27:40.000,0,0,50
2023-07-22 11:27:30.000,0,0,50
2023-07-22 11:27:20.000,0,0,50
2023-07-22 11:27:10.000,0,0,50
2023-07-22 11:27:00.000,0,0,50
2023-07-22 11:26:50.000,0,0,50
2023-07-22 11:26:40.000,0,0,50
2023-07-22 11:26:30.000,0,0,50
2023-07-22 11:26:20.000,0,0,50
2023-07-22 11:26:10.000,0,0,50
2023-07-22 11:26:00.000,0,0,50
2023-07-22 11:25:50.000,0,0,50
2023-07-22 11:25:40.000,0,0,50
2023-07-22 11:25:30.000,0,0,50
2023-07-22 11:25:20.000,0,0,50
2023-07-22 11:25:10.000,0,0,50
2023-07-22 11:25:00.000,0,0,50
2023-07-22 11:24:50.000,0,0,50
2023-07-22 11:24:40.000,0,0,50
2023-07-22 11:24:30.000,0,0,50
2023-07-22 11:24:20.000,0,0,50
2023-07-22 11:24:10.000,0,0,50
2023-07-22 11:24:00.000,0,0,50
2023-07-22 11:23:50.000,0,0,50
2023-07-22 11:23:40.000,0,0,50
2023-07-22 11:23:30.000,0,0,50
2023-07-22 11:23:20.000,0,0,50
2023-07-22 11:23:10.000,0,0,50
2023-07-22 11:21:20.000,0,3,50
2023-07-22 11:21:10.000,0,3,50
2023-07-22 11:21:00.000,0,3,50
2023-07-22 11:20:50.000,0,2,50
2023-07-22 11:20:40.000,0,2,50
2023-07-22 11:20:30.000,0,2,50
2023-07-22 11:20:20.000,0,2,50
2023-07-22 11:20:10.000,0,2,50
2023-07-22 11:20:00.000,0,2,50
2023-07-22 11:19:50.000,0,2,50
2023-07-22 11:19:40.000,0,1,50
2023-07-22 11:19:30.000,0,1,50
2023-07-22 11:19:20.000,0,1,50
2023-07-22 11:19:10.000,0,1,50
2023-07-22 11:19:00.000,0,1,50
2023-07-22 11:18:50.000,0,1,50
2023-07-22 11:18:40.000,0,1,50
2023-07-22 11:18:30.000,0,1,50
2023-07-22 11:18:20.000,0,1,50
2023-07-22 11:18:10.000,0,1,50
2023-07-22 11:18:00.000,0,1,50
2023-07-22 11:17:50.000,0,1,50
2023-07-22 11:17:40.000,0,1,50
2023-07-22 11:17:30.000,0,1,50
2023-07-22 11:17:20.000,0,1,50
2023-07-22 11:17:10.000,0,1,50
2023-07-22 11:17:00.000,0,1,50
2023-07-22 11:16:50.000,0,1,50
2023-07-22 11:16:40.000,0,1,50
2023-07-22 11:16:30.000,0,1,50
2023-07-22 11:16:20.000,0,0,50
2023-07-22 11:16:10.000,0,0,50
2023-07-22 11:16:00.000,0,0,50

